jeu_200_25_1,1.134313,0.1413611,0.1936011,0.1876336,0.2224603,0.2497542,0.2894723,0.4279963,0.4295616,0.6769679,0.687729,0.870569,0.7707847,1.232532,1.557515,1.381425,1.696235,2.481498,2.814797,2.785351,3.485407
jeu_200_25_2,0.1193791,0.01711378,0.02087047,0.03055436,0.03189007,0.03723291,0.04583154,0.06954039,0.1179599,0.1514361,0.1561946,0.2417635,0.278412,0.4296811,0.458065,0.5928882,0.9517767,0.8791475,1.702863,1.790602,3.009187
,0.1193791,0.01711378,0.02087047,0.03055436,0.03189007,0.03723291,0.04583154,0.06954039,0.1179599,0.1514361,0.1561946,0.2417635,0.278412,0.4296811,0.458065,0.5928882,0.9517767,0.8791475,1.702863,1.790602,3.009187
jeu_200_25_4,0.92867,0,0,0.01870832,0.02617365,0.0794204,0.1309582,0.2425785,0.3270358,0.4821889,0.5160078,0.686901,0.7937543,0.8700267,0.941532,1.076088,1.2656,2.01726,2.044243,2.543162,2.762175
jeu_200_25_5,1.240631,0.5704555,0.534048,0.4554675,0.4705217,0.4523713,0.5135487,0.5856164,0.6303517,0.6191412,0.7512118,0.8844569,0.9649591,1.061156,1.348679,1.499221,1.733681,1.812261,1.915398,2.754479,3.022784
jeu_200_25_6,3.665169,1.247775,1.325435,1.222636,1.131784,1.209444,1.23533,1.365509,1.431469,1.586788,1.72543,1.96687,2.12642,2.681734,2.806935,3.262436,3.62858,4.129631,4.262299,5.19894,5.68207
jeu_200_25_7,1.951352,1.396097,1.406599,1.38153,1.381869,1.364252,1.476726,1.569551,1.604106,1.69998,1.945931,2.338912,2.729521,2.717664,3.077444,3.498543,4.044651,4.446778,5.044718,5.674504,6.227387
jeu_200_25_8,0.9656502,0.2477364,0.3165298,0.3352673,0.4561241,0.4616116,0.5144781,0.5983953,0.5049755,0.6689285,0.9873321,1.053449,1.296367,1.375867,1.589609,1.87027,2.353429,2.561683,2.950754,3.327244,3.585821
jeu_200_25_9,3.388972,0.9966374,1.031479,1.030669,1.037556,1.201637,1.296034,1.340599,1.484828,1.259166,1.50711,1.874975,2.164243,2.454726,2.602196,2.800713,3.102135,4.152251,4.765223,4.579265,6.181988
jeu_200_25_10,4.84946,3.000475,2.778844,2.57496,2.410285,2.622836,2.351679,2.343012,2.082173,2.455684,2.315359,2.470955,2.788337,3.20312,3.801977,3.779277,4.147011,4.485029,5.135475,4.794569,5.910976
jeu_200_50_1,0.232735,0.1007802,0.1007802,0.1021777,0.1057789,0.1324923,0.1361473,0.1428122,0.1207212,0.2145677,0.2519236,0.2862694,0.2805183,0.3401801,0.4406378,0.4333279,0.4753062,0.5579728,0.7243273,0.7535132,0.8205925
jeu_200_50_2,0.851608,0.3067305,0.2351158,0.2180647,0.1904987,0.1995927,0.207834,0.2705442,0.2535878,0.3315493,0.3932174,0.403827,0.4762942,0.4069531,0.5867475,0.7541325,0.7725098,0.9617771,1.165633,1.234405,1.286695
jeu_200_50_3,1.696855,0.5350705,0.3877017,0.3877017,0.3633162,0.3857649,0.3208839,0.3570658,0.3915751,0.3411317,0.4708057,0.5238902,0.4912296,0.4984484,0.4576887,0.7878161,0.6707309,0.7364043,0.8276955,0.9511191,0.9488302
